epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,1.460204,0.698582,1.461754,0.730285,0.692103,0.728077,0.00000604,79.33
2,1.477054,0.693262,1.465453,0.732273,0.693579,0.735778,0.00001204,19.79
3,1.458137,0.705452,1.461786,0.738237,0.690900,0.731017,0.00001804,19.48
4,1.430613,0.699246,1.543089,0.734261,0.694402,0.732841,0.00002404,19.50
5,1.407582,0.692598,1.609259,0.703115,0.655888,0.701255,0.00003000,19.48
6,1.478071,0.693262,1.493238,0.724983,0.677372,0.713893,0.00002998,19.48
7,1.516322,0.677748,1.510060,0.700464,0.670883,0.721749,0.00002990,19.45
8,1.458686,0.639184,1.521949,0.701127,0.662510,0.702633,0.00002978,19.29
9,1.557865,0.659353,1.583742,0.715043,0.680694,0.726204,0.00002961,19.49
10,1.566622,0.656693,1.612198,0.723658,0.685990,0.729193,0.00002939,19.57
11,1.447096,0.701241,1.487269,0.717694,0.682578,0.724803,0.00002913,19.61
12,1.484363,0.686835,1.566426,0.704440,0.676578,0.724522,0.00002882,19.79
13,1.562337,0.672651,1.591604,0.711067,0.685978,0.733667,0.00002846,19.72
14,1.374278,0.678635,1.504256,0.723658,0.685486,0.718021,0.00002806,19.73
15,1.436508,0.705452,1.555556,0.715706,0.678188,0.719558,0.00002762,19.88
16,1.447435,0.669326,1.526988,0.741551,0.697070,0.732481,0.00002714,19.50
17,1.344664,0.692154,1.592448,0.745527,0.696630,0.724420,0.00002661,19.65
18,1.482689,0.679521,1.556434,0.726972,0.683777,0.722565,0.00002605,19.55
19,1.477951,0.692598,1.539535,0.726309,0.688171,0.721579,0.00002545,19.73
20,1.509387,0.688608,1.643518,0.691186,0.671511,0.716046,0.00002482,19.57
21,1.451640,0.689051,1.609372,0.717031,0.677238,0.717357,0.00002416,19.63
22,1.435653,0.689051,1.540510,0.728960,0.688029,0.726117,0.00002347,20.28
23,1.399605,0.693706,1.504964,0.714380,0.682002,0.727399,0.00002275,19.84
24,1.462600,0.717863,1.654208,0.694500,0.668449,0.714747,0.00002200,19.55
25,1.390055,0.704344,1.645218,0.707753,0.672905,0.717420,0.00002123,19.94
26,1.505304,0.692376,1.547824,0.712392,0.681568,0.727097,0.00002044,19.75
27,1.462594,0.684397,1.645734,0.714380,0.688780,0.731886,0.00001964,20.35
28,1.371022,0.698138,1.583233,0.726309,0.694121,0.730504,0.00001881,19.79
29,1.411440,0.665559,1.570193,0.710404,0.673711,0.715424,0.00001798,19.78
30,1.451634,0.693706,1.633105,0.725646,0.681927,0.714559,0.00001713,20.03
31,1.444908,0.716755,1.598910,0.703115,0.668543,0.708033,0.00001628,19.87
32,1.325769,0.729832,1.580546,0.727634,0.689309,0.726505,0.00001543,19.94
33,1.409851,0.689051,1.646152,0.706428,0.676732,0.722504,0.00001457,20.12
34,1.388038,0.683954,1.617257,0.695825,0.664392,0.713246,0.00001372,19.67
35,1.290236,0.703457,1.554758,0.737575,0.693012,0.724249,0.00001287,19.86
36,1.250786,0.735151,1.598462,0.710404,0.679285,0.721062,0.00001202,20.12
37,1.197946,0.741800,1.599272,0.708416,0.676836,0.717966,0.00001119,19.78
38,1.478299,0.696809,1.594962,0.742876,0.701320,0.728350,0.00001036,19.83
39,1.370455,0.707004,1.559843,0.742213,0.700619,0.730772,0.00000956,19.88
40,1.480351,0.677748,1.673801,0.707753,0.677412,0.721594,0.00000877,19.86
41,1.278598,0.717199,1.624573,0.722333,0.687355,0.726232,0.00000800,19.89
42,1.419382,0.704787,1.663598,0.701127,0.666502,0.715292,0.00000725,19.77
43,1.403065,0.694371,1.609610,0.723658,0.687571,0.730420,0.00000653,19.56
44,1.446255,0.685062,1.634051,0.718357,0.680751,0.718928,0.00000584,19.98
45,1.353759,0.697252,1.586131,0.720345,0.686326,0.722791,0.00000518,19.96
46,1.303984,0.732270,1.593871,0.710404,0.676746,0.718625,0.00000455,20.55
47,1.257822,0.701906,1.594865,0.716368,0.681681,0.723215,0.00000395,20.22
48,1.381415,0.702349,1.600651,0.717694,0.682683,0.722639,0.00000339,19.52
49,1.229973,0.740470,1.617687,0.705765,0.675856,0.721304,0.00000286,19.56
50,1.440368,0.675089,1.573910,0.719682,0.682005,0.721348,0.00000238,19.74
51,1.314944,0.693927,1.675366,0.717031,0.683696,0.718448,0.00000194,19.76
52,1.355089,0.714982,1.605817,0.718357,0.684415,0.728657,0.00000154,19.59
53,1.306703,0.691711,1.671374,0.701789,0.670085,0.720726,0.00000118,19.91
54,1.390175,0.711879,1.655252,0.719682,0.685068,0.726085,0.00000087,20.19
55,1.436648,0.719637,1.683414,0.715043,0.679742,0.726166,0.00000061,19.93
56,1.365151,0.728945,1.648346,0.711067,0.675935,0.720660,0.00000039,19.73
57,1.286943,0.718085,1.643987,0.717694,0.683413,0.724835,0.00000022,19.80
58,1.263969,0.671764,1.648280,0.734924,0.692848,0.722981,0.00000010,19.56
59,1.264058,0.735372,1.632945,0.725646,0.687998,0.729074,0.00000002,19.91
60,1.255737,0.739140,1.691690,0.723658,0.689075,0.732047,0.00000000,20.08
