epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,2.772053,0.456560,2.239458,0.453280,0.407704,0.460683,0.00006021,103.05
2,2.298455,0.510860,1.928996,0.549370,0.452081,0.504142,0.00012021,33.76
3,2.211742,0.528147,1.833169,0.575215,0.469399,0.543751,0.00018021,33.62
4,2.174374,0.529255,1.802061,0.632207,0.525340,0.569399,0.00024021,34.29
5,2.136740,0.546764,1.730015,0.642147,0.543240,0.590942,0.00030000,34.75
6,2.093860,0.556959,1.636657,0.687210,0.586035,0.627910,0.00029994,34.71
7,1.973487,0.560284,1.841993,0.565275,0.525423,0.606290,0.00029978,34.09
8,2.022714,0.562500,1.848775,0.544732,0.510326,0.609042,0.00029950,33.75
9,1.939299,0.576463,1.744000,0.636846,0.565217,0.631232,0.00029911,33.86
10,1.973843,0.578901,1.810227,0.565938,0.506214,0.614377,0.00029860,33.71
11,1.858990,0.608599,1.630640,0.608350,0.532921,0.620474,0.00029799,33.86
12,1.847210,0.594858,1.635905,0.626905,0.561713,0.632389,0.00029727,33.65
13,1.909530,0.603059,1.632550,0.667992,0.591729,0.625887,0.00029643,33.81
14,1.891163,0.603502,1.736355,0.622929,0.557532,0.645861,0.00029549,33.79
15,1.857163,0.593750,1.718609,0.552021,0.540358,0.626430,0.00029444,34.50
16,1.871971,0.607048,1.663933,0.662691,0.582694,0.660477,0.00029328,33.84
17,1.879651,0.572030,1.701456,0.642810,0.579171,0.655159,0.00029201,33.69
18,1.821989,0.625222,1.576509,0.654076,0.603835,0.662870,0.00029064,33.97
19,1.794950,0.602837,1.561845,0.639496,0.579579,0.657830,0.00028916,34.25
20,1.771273,0.613032,1.700547,0.589795,0.563925,0.648970,0.00028758,33.70
21,1.772587,0.603945,1.624713,0.644798,0.589386,0.659677,0.00028590,33.80
22,1.800654,0.614805,1.715804,0.596421,0.576292,0.651108,0.00028411,33.77
23,1.743399,0.622784,1.578720,0.630219,0.598596,0.670253,0.00028223,34.10
24,1.804681,0.622119,1.585047,0.634858,0.586348,0.664553,0.00028024,33.78
25,1.784982,0.613032,1.554522,0.690524,0.637058,0.697805,0.00027816,33.69
26,1.803957,0.600621,1.432713,0.697813,0.641866,0.706449,0.00027599,33.77
27,1.741026,0.613918,1.381638,0.707091,0.662420,0.716289,0.00027372,33.80
28,1.759794,0.621232,1.651967,0.633532,0.588601,0.675828,0.00027135,33.91
29,1.756304,0.619016,1.659012,0.655401,0.624013,0.684675,0.00026890,33.82
30,1.695520,0.634752,1.702616,0.617628,0.595630,0.682068,0.00026636,33.73
31,1.685564,0.612145,1.411694,0.711730,0.661259,0.714886,0.00026373,33.69
32,1.659592,0.625887,1.561127,0.634858,0.610972,0.694153,0.00026101,33.81
33,1.728619,0.629876,1.381071,0.720345,0.662932,0.721155,0.00025822,33.93
34,1.687503,0.624778,1.468299,0.689861,0.652868,0.712961,0.00025534,33.72
35,1.708150,0.636303,1.585597,0.646786,0.602114,0.669755,0.00025238,33.72
36,1.633698,0.632757,1.522946,0.676607,0.626463,0.701067,0.00024935,33.90
37,1.682183,0.640736,1.521085,0.659377,0.646731,0.707989,0.00024624,33.83
38,1.601713,0.642730,1.407370,0.695825,0.635905,0.678798,0.00024307,33.92
39,1.643315,0.642066,1.506890,0.671306,0.648410,0.708348,0.00023982,33.86
40,1.620118,0.654034,1.414850,0.724321,0.671606,0.717750,0.00023650,33.87
41,1.655190,0.641844,1.598545,0.652087,0.632251,0.700366,0.00023312,34.45
42,1.635823,0.650709,1.393685,0.693837,0.654192,0.705688,0.00022968,33.66
43,1.660534,0.643395,1.555290,0.650099,0.627045,0.705775,0.00022618,34.09
44,1.590562,0.659353,1.474937,0.671306,0.638886,0.689940,0.00022262,33.70
45,1.587902,0.628546,1.447654,0.695825,0.670241,0.718441,0.00021901,33.85
46,1.616882,0.654920,1.584306,0.691849,0.654574,0.712951,0.00021535,33.76
47,1.528216,0.671986,1.535193,0.681246,0.655391,0.699086,0.00021163,33.81
48,1.532643,0.666888,1.426445,0.707753,0.668827,0.708597,0.00020788,33.98
49,1.586112,0.646720,1.448264,0.706428,0.675565,0.739864,0.00020407,33.84
50,1.586149,0.648493,1.374448,0.724983,0.678040,0.722358,0.00020023,33.86
51,1.558378,0.665559,1.569155,0.668655,0.644153,0.692118,0.00019635,33.82
52,1.626897,0.648493,1.484337,0.719682,0.687548,0.734634,0.00019244,33.79
53,1.515910,0.643617,1.503085,0.681909,0.660723,0.735944,0.00018849,33.88
54,1.546416,0.656472,1.508835,0.717694,0.676453,0.718413,0.00018452,33.74
55,1.525140,0.668440,1.518872,0.694500,0.670491,0.729314,0.00018052,33.90
56,1.532260,0.664229,1.458217,0.734261,0.694214,0.736947,0.00017650,33.79
57,1.537352,0.660904,1.452925,0.701789,0.668308,0.712173,0.00017245,33.87
58,1.574560,0.668218,1.520452,0.701127,0.667548,0.711096,0.00016839,33.88
59,1.576054,0.644947,1.381409,0.737575,0.699360,0.747816,0.00016432,33.85
60,1.525070,0.675089,1.448371,0.706428,0.681040,0.723788,0.00016024,33.98
61,1.455796,0.697473,1.399527,0.738900,0.687219,0.735917,0.00015614,33.79
62,1.523083,0.663564,1.378126,0.731610,0.694232,0.738746,0.00015205,33.89
63,1.494496,0.661348,1.350709,0.733598,0.702498,0.758053,0.00014795,33.94
64,1.486977,0.675975,1.340437,0.724321,0.697931,0.746412,0.00014386,33.67
65,1.465019,0.695035,1.359124,0.727634,0.695398,0.730729,0.00013976,33.82
66,1.488526,0.648271,1.323563,0.730285,0.698704,0.744426,0.00013568,33.77
67,1.417949,0.676862,1.408467,0.701789,0.675791,0.727652,0.00013161,33.85
68,1.510199,0.655585,1.344139,0.733598,0.694862,0.732290,0.00012755,34.65
69,1.434141,0.683067,1.381417,0.740225,0.698747,0.740582,0.00012350,33.69
70,1.429782,0.687722,1.308618,0.763419,0.711623,0.746730,0.00011948,33.79
71,1.446905,0.662012,1.365494,0.731610,0.699300,0.744862,0.00011548,33.87
72,1.400717,0.690381,1.291850,0.756130,0.719542,0.758128,0.00011151,33.87
73,1.378179,0.694592,1.277460,0.760106,0.719014,0.754990,0.00010756,33.97
74,1.349289,0.703679,1.330704,0.737575,0.705218,0.749308,0.00010365,33.79
75,1.309013,0.698582,1.300101,0.753479,0.712032,0.748930,0.00009977,33.95
76,1.346876,0.701463,1.326308,0.740225,0.703066,0.733822,0.00009593,33.82
77,1.430369,0.659574,1.333787,0.744864,0.700235,0.735275,0.00009212,33.99
78,1.360853,0.696809,1.354116,0.759443,0.718658,0.757060,0.00008837,34.00
79,1.372435,0.682846,1.331086,0.743539,0.703754,0.742300,0.00008465,33.84
80,1.356842,0.686613,1.364188,0.745527,0.699757,0.731795,0.00008099,33.93
81,1.365961,0.693262,1.323633,0.746190,0.714249,0.761331,0.00007738,33.86
82,1.335098,0.715647,1.283914,0.762757,0.717952,0.749781,0.00007382,33.80
83,1.371923,0.714761,1.375901,0.728297,0.696299,0.737507,0.00007032,33.88
84,1.403547,0.695700,1.367913,0.740225,0.708802,0.745103,0.00006688,33.74
85,1.337478,0.709220,1.373900,0.746190,0.708483,0.749944,0.00006350,33.86
86,1.304817,0.721410,1.348453,0.752816,0.703832,0.736273,0.00006018,33.90
87,1.301269,0.689716,1.420553,0.734261,0.705248,0.749514,0.00005693,33.87
88,1.374308,0.687057,1.337055,0.741551,0.707980,0.747953,0.00005376,33.90
89,1.271287,0.711436,1.337927,0.754142,0.711713,0.741487,0.00005065,33.76
90,1.392682,0.718528,1.434504,0.726309,0.689685,0.730206,0.00004762,34.53
91,1.274151,0.698360,1.386110,0.734924,0.707763,0.749274,0.00004466,33.87
92,1.313366,0.700355,1.352000,0.756130,0.717482,0.747124,0.00004178,34.01
93,1.342701,0.697252,1.349389,0.744201,0.706165,0.742101,0.00003899,33.80
94,1.290560,0.699246,1.420092,0.726972,0.693169,0.736547,0.00003627,34.42
95,1.329402,0.699246,1.288795,0.752816,0.711050,0.738632,0.00003364,33.97
96,1.260954,0.716977,1.373012,0.746852,0.710384,0.744840,0.00003110,33.76
97,1.183806,0.736702,1.382144,0.735586,0.700619,0.737391,0.00002865,33.80
98,1.199645,0.740470,1.355359,0.746190,0.702508,0.733043,0.00002628,33.80
99,1.226526,0.725399,1.464688,0.742876,0.706889,0.744295,0.00002401,33.91
100,1.324734,0.712101,1.378399,0.738237,0.701967,0.743453,0.00002184,34.00
101,1.251659,0.737367,1.362111,0.761431,0.722390,0.748802,0.00001976,33.79
102,1.322236,0.730275,1.442467,0.741551,0.705471,0.743057,0.00001777,34.00
103,1.252397,0.714317,1.367692,0.751491,0.714552,0.753825,0.00001589,33.94
104,1.295653,0.739805,1.370053,0.756793,0.712934,0.740999,0.00001410,33.82
105,1.221975,0.743351,1.386426,0.732273,0.697358,0.739488,0.00001242,33.76
106,1.267933,0.714539,1.346649,0.758781,0.706580,0.733491,0.00001084,33.72
107,1.277431,0.704122,1.357829,0.751491,0.710273,0.743140,0.00000936,33.99
108,1.203600,0.740248,1.384935,0.748178,0.710853,0.745122,0.00000799,33.78
109,1.316467,0.686835,1.372608,0.746852,0.704588,0.737828,0.00000672,33.74
110,1.229382,0.717420,1.400587,0.738237,0.702530,0.741581,0.00000556,33.83
111,1.232550,0.740913,1.387362,0.749503,0.709691,0.738170,0.00000451,33.63
112,1.211223,0.738697,1.302696,0.759443,0.714378,0.742102,0.00000357,33.94
113,1.254617,0.721410,1.484680,0.736912,0.701451,0.738053,0.00000273,33.91
114,1.214908,0.723626,1.329569,0.758118,0.709304,0.734531,0.00000201,33.85
115,1.252507,0.721853,1.382126,0.752816,0.710373,0.743717,0.00000140,33.78
116,1.262027,0.704787,1.448877,0.740225,0.700239,0.735292,0.00000089,33.80
117,1.246993,0.716534,1.443999,0.745527,0.704015,0.738135,0.00000050,33.98
118,1.261504,0.701463,1.406223,0.751491,0.712630,0.748473,0.00000022,33.83
119,1.243914,0.718972,1.366139,0.761431,0.719666,0.749343,0.00000006,33.77
120,1.225568,0.718528,1.366652,0.745527,0.706101,0.734614,0.00000000,33.81
