epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,0.876950,0.588608,1.018948,0.545024,0.475124,0.555850,0.00006076,87.41
2,0.840026,0.595728,0.783571,0.691943,0.691936,0.692638,0.00012076,14.27
3,0.822483,0.657437,0.785511,0.703791,0.697886,0.700382,0.00018076,14.79
4,0.826975,0.637658,0.845010,0.687204,0.671595,0.681556,0.00024076,10.90
5,0.811249,0.656646,0.818187,0.689573,0.686003,0.687097,0.00030000,12.69
6,0.800058,0.659019,0.775282,0.715640,0.715326,0.715275,0.00029976,15.09
7,0.786813,0.667722,0.862134,0.582938,0.551335,0.590963,0.00029902,9.73
8,0.766372,0.670886,0.931778,0.642180,0.600025,0.633461,0.00029780,14.22
9,0.777651,0.666930,0.795590,0.696682,0.696512,0.696572,0.00029610,14.09
10,0.773024,0.666930,0.793940,0.720379,0.710488,0.715702,0.00029392,14.08
11,0.778136,0.673259,0.762561,0.727488,0.720866,0.723693,0.00029128,14.13
12,0.780848,0.663766,0.769896,0.722749,0.721609,0.721513,0.00028817,14.00
13,0.766487,0.668513,0.842648,0.710900,0.709229,0.709318,0.00028461,14.29
14,0.763418,0.708070,0.794643,0.710900,0.702721,0.706755,0.00028061,13.84
15,0.767021,0.684335,0.767954,0.732227,0.724872,0.728167,0.00027619,13.94
16,0.752620,0.705696,0.814815,0.722749,0.713200,0.718141,0.00027135,14.05
17,0.712832,0.721519,0.824056,0.725118,0.714872,0.720310,0.00026612,13.97
18,0.752199,0.687500,0.776921,0.710900,0.700674,0.706216,0.00026051,14.16
19,0.742293,0.702532,0.778262,0.694313,0.693236,0.693189,0.00025454,14.26
20,0.753911,0.715981,0.738208,0.729858,0.723898,0.726267,0.00024823,14.13
21,0.740662,0.698576,0.762420,0.727488,0.718103,0.722884,0.00024160,14.28
22,0.758332,0.695411,0.749293,0.741706,0.734182,0.737518,0.00023467,14.22
23,0.736374,0.687500,0.784068,0.727488,0.717064,0.722614,0.00022746,14.09
24,0.728828,0.680380,0.755030,0.720379,0.709955,0.715567,0.00022000,14.23
25,0.744090,0.704905,0.756486,0.744076,0.743984,0.744138,0.00021231,14.27
26,0.761940,0.691456,0.737146,0.744076,0.740130,0.741171,0.00020442,14.18
27,0.763435,0.696203,0.752972,0.748815,0.746054,0.746454,0.00019635,14.40
28,0.721233,0.681962,0.782238,0.753555,0.750591,0.751062,0.00018813,14.37
29,0.742273,0.689873,0.756218,0.746445,0.742382,0.743475,0.00017979,14.56
30,0.720134,0.721519,0.772433,0.748815,0.743979,0.745510,0.00017135,14.37
31,0.726493,0.719146,0.766499,0.758294,0.755387,0.755805,0.00016284,14.29
32,0.726813,0.700158,0.856257,0.744076,0.738051,0.740362,0.00015428,14.62
33,0.727334,0.698576,0.820325,0.751185,0.749654,0.749567,0.00014572,14.23
34,0.729552,0.731804,0.815884,0.699052,0.698156,0.698067,0.00013716,14.18
35,0.698178,0.731804,0.974155,0.734597,0.725700,0.730066,0.00012865,14.28
36,0.732798,0.716772,0.822544,0.739336,0.736973,0.737237,0.00012021,14.26
37,0.727973,0.735759,0.774361,0.746445,0.746125,0.746038,0.00011187,14.12
38,0.697415,0.728639,0.779521,0.741706,0.737567,0.738732,0.00010365,14.35
39,0.713955,0.723101,0.817379,0.734597,0.729487,0.731280,0.00009558,14.31
40,0.725579,0.700158,0.859504,0.710900,0.705334,0.707564,0.00008769,14.34
41,0.689855,0.733386,0.844935,0.729858,0.727409,0.727751,0.00008000,14.40
42,0.667267,0.712816,0.889492,0.727488,0.726368,0.726256,0.00007254,14.51
43,0.685025,0.736551,0.848391,0.729858,0.725693,0.726942,0.00006533,14.26
44,0.702720,0.746044,0.791574,0.739336,0.737206,0.737372,0.00005840,14.53
45,0.693582,0.726266,0.896715,0.729858,0.720802,0.725323,0.00005177,14.39
46,0.721259,0.716772,0.937070,0.751185,0.748574,0.748893,0.00004546,14.13
47,0.721035,0.718354,0.832516,0.734597,0.730505,0.731685,0.00003949,14.29
48,0.676523,0.754747,0.884205,0.720379,0.716714,0.717725,0.00003388,14.32
49,0.676722,0.731013,0.879850,0.718009,0.715322,0.715826,0.00002865,14.15
50,0.712613,0.728639,0.831539,0.744076,0.741984,0.742115,0.00002381,14.36
51,0.689135,0.724684,0.858157,0.729858,0.729122,0.728965,0.00001939,14.42
52,0.688306,0.716772,0.892825,0.722749,0.719560,0.720299,0.00001539,14.24
53,0.706013,0.746044,0.866478,0.736967,0.734701,0.734933,0.00001183,14.17
54,0.678602,0.742880,0.844235,0.725118,0.724227,0.724087,0.00000872,14.13
55,0.701697,0.740506,0.852508,0.746445,0.744029,0.744285,0.00000608,14.38
56,0.675464,0.732595,0.877989,0.720379,0.719472,0.719344,0.00000390,14.24
57,0.707101,0.727848,0.912975,0.732227,0.729676,0.730055,0.00000220,14.36
58,0.666281,0.731013,0.848282,0.736967,0.734460,0.734798,0.00000098,14.28
59,0.691159,0.725475,0.842579,0.732227,0.729148,0.729785,0.00000024,14.48
60,0.670115,0.723892,0.915631,0.729858,0.725361,0.726807,0.00000000,14.20
