epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,735.263,3.52931,10.1055,3.73505,0.01022,0.11935,0.0175,0.00612,3.31452,7.51454,3.30165,0.00999419,0.0033314,0.00999419,0.0033314,0.00999419,0.0033314,0.00999419,0.0033314
2,1395.47,2.83777,4.38966,2.76592,0.84188,0.07931,0.07759,0.03529,2.77543,4.1377,2.49388,0.0198292,0.00660974,0.0198292,0.00660974,0.0198292,0.00660974,0.0198292,0.00660974
3,2047.78,2.60791,3.9179,2.50571,0.34067,0.14346,0.11903,0.05836,2.65317,3.90334,2.47325,0.0294993,0.00983309,0.0294993,0.00983309,0.0294993,0.00983309,0.0294993,0.00983309
4,2695.98,2.46989,3.61777,2.37317,0.36323,0.18812,0.14675,0.07324,2.49392,3.70097,2.23053,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,3342.98,2.32238,3.27397,2.23344,0.66939,0.20233,0.19971,0.11441,2.41335,3.35406,2.17683,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,3993.11,2.23367,3.05983,2.14971,0.36045,0.22405,0.22071,0.13255,2.36529,3.33288,2.11866,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,4643.17,2.13437,2.86014,2.06043,0.30223,0.2744,0.23615,0.13772,2.32162,3.17888,2.09207,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,5294.06,2.08447,2.75516,2.01592,0.44979,0.25311,0.23936,0.14303,2.25004,3.11251,2.05329,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,5943.55,2.021,2.6057,1.9638,0.39516,0.27817,0.26011,0.16074,2.24287,3.02022,2.02488,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,6591.34,1.97356,2.50459,1.93397,0.29164,0.29821,0.26769,0.16574,2.19017,2.91926,1.98691,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
