epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.609,3.78096,8.00013,4.0148,0.00038,0.02911,0.00023,6e-05,3.40455,12.7589,3.51371,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323
2,205.088,3.43014,4.6792,3.23514,0.45136,0.00885,0.00304,0.00065,3.17112,7.17155,3.29442,0.0199038,0.0066346,0.0199038,0.0066346,0.0199038,0.0066346,0.0199038,0.0066346
3,303.96,3.1966,4.17276,2.86858,0.60327,0.03231,0.01486,0.00432,3.29977,5.8466,2.66712,0.0297719,0.00992397,0.0297719,0.00992397,0.0297719,0.00992397,0.0297719,0.00992397
4,403.178,3.02693,3.99281,2.67782,0.29882,0.05759,0.02604,0.00677,3.11495,6.64296,2.42961,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,501.118,2.83409,3.81352,2.44632,0.56288,0.06421,0.04643,0.01672,2.94996,4.49256,2.23584,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,599.393,2.76992,3.70853,2.35123,0.62108,0.10669,0.07377,0.02605,2.94616,4.29228,2.15072,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,698.304,2.71006,3.61156,2.25712,0.46268,0.10976,0.07399,0.0259,2.82026,4.1148,2.11023,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,796.636,2.66577,3.52193,2.22034,0.66352,0.11043,0.07366,0.02998,2.82114,4.36803,2.092,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,895.145,2.58035,3.42106,2.1591,0.47228,0.15157,0.10599,0.04354,2.7263,3.82905,2.01965,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,993.614,2.51939,3.32446,2.10185,0.76714,0.14845,0.13244,0.05322,2.68102,3.85483,1.93199,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1092.15,2.45702,3.26271,2.08429,0.72463,0.13305,0.13368,0.06132,2.67815,3.97324,1.95321,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1191,2.40547,3.18109,2.03981,0.54595,0.15285,0.132,0.06612,2.61279,3.69176,1.89653,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1290.05,2.42543,3.14308,2.02851,0.88739,0.11719,0.14959,0.07095,2.68505,3.59479,1.96208,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1389.55,2.35134,3.04728,2.006,0.82669,0.13343,0.14787,0.07392,2.57028,3.3688,1.86796,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
