epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,523.056,3.67898,10.3791,3.52561,0.01016,0.08492,0.01343,0.00489,3.35957,5.66709,3.07565,0.00999419,0.0033314,0.00999419,0.0033314,0.00999419,0.0033314,0.00999419,0.0033314
2,999.282,2.91779,3.91833,2.4892,0.83395,0.08161,0.07878,0.03451,2.92531,4.32711,2.32216,0.0198292,0.00660974,0.0198292,0.00660974,0.0198292,0.00660974,0.0198292,0.00660974
3,1470.2,2.66936,3.45299,2.2177,0.65594,0.1395,0.14093,0.07206,2.77985,3.73812,2.18268,0.0294993,0.00983309,0.0294993,0.00983309,0.0294993,0.00983309,0.0294993,0.00983309
4,1939.84,2.53022,3.20824,2.09726,0.53101,0.16877,0.16849,0.09225,2.67952,3.52238,2.07602,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,2409.36,2.34019,2.86726,1.94763,0.61931,0.18214,0.19674,0.11644,2.59949,3.35908,2.0216,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,2878.07,2.24389,2.69956,1.87189,0.59661,0.22601,0.22069,0.12683,2.48975,3.07593,1.94862,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,3347.77,2.15231,2.54873,1.78901,0.27558,0.26888,0.23988,0.1474,2.44364,3.01448,1.89667,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,3817.1,2.08587,2.44096,1.74245,0.29915,0.24792,0.23963,0.14619,2.39496,3.02808,1.88207,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,4285.27,2.02596,2.3015,1.69908,0.33201,0.27117,0.2605,0.16303,2.34423,2.8529,1.85146,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,4754.99,1.98616,2.22562,1.6718,0.29633,0.29482,0.25921,0.16382,2.33217,2.79471,1.82696,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,5223.73,1.94814,2.15067,1.63222,0.32009,0.29027,0.27807,0.17449,2.29529,2.70731,1.79274,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,5692.74,1.88454,2.05736,1.60441,0.31515,0.2976,0.26901,0.17537,2.26695,2.70777,1.77648,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,6161.59,1.84287,1.97059,1.57285,0.32449,0.3047,0.27935,0.18253,2.23395,2.67633,1.75231,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,6631.73,1.81139,1.90498,1.5511,0.38406,0.30934,0.28612,0.18387,2.22681,2.66863,1.75111,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,7101.7,1.78844,1.84888,1.53029,0.33994,0.31461,0.28303,0.18517,2.23292,2.60932,1.76193,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,7570.54,1.7419,1.76204,1.50464,0.34254,0.3234,0.2954,0.19011,2.2069,2.60998,1.72994,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,8040.66,1.7254,1.70866,1.48842,0.38592,0.30355,0.287,0.19082,2.20874,2.59915,1.74483,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,8510,1.69622,1.6413,1.46441,0.37453,0.3418,0.29968,0.19896,2.18624,2.6055,1.7215,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,8979.26,1.6605,1.58393,1.44389,0.35674,0.32489,0.29734,0.20122,2.17739,2.58061,1.72988,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,9448.46,1.63294,1.53336,1.42156,0.34801,0.34259,0.30234,0.19852,2.22505,2.64213,1.7484,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,9918.65,1.6136,1.47387,1.40878,0.34855,0.3478,0.30115,0.2001,2.20231,2.61019,1.75826,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,10388.8,1.60292,1.42933,1.39481,0.35594,0.35043,0.30371,0.20528,2.19748,2.61943,1.72676,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,10857.7,1.58397,1.39545,1.38236,0.35694,0.34038,0.30397,0.20236,2.20648,2.61959,1.74089,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,11327.6,1.54887,1.3487,1.36343,0.37008,0.3422,0.30513,0.20311,2.21336,2.62592,1.74679,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,11796.5,1.53717,1.30904,1.35138,0.35749,0.33011,0.29703,0.19918,2.22076,2.62796,1.729,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,12265.8,1.50912,1.26312,1.33525,0.35496,0.33453,0.29856,0.20607,2.21208,2.62388,1.73038,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,12734.9,1.49588,1.23304,1.32468,0.36969,0.34599,0.30645,0.20646,2.21701,2.63864,1.75163,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,13204,1.47581,1.19712,1.31145,0.37517,0.33979,0.30655,0.20167,2.1855,2.63088,1.73349,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,13673,1.45704,1.16758,1.29844,0.39897,0.34816,0.31055,0.20727,2.21384,2.67602,1.76556,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,14142.3,1.44731,1.13609,1.2919,0.38016,0.3537,0.31086,0.21016,2.22898,2.63055,1.75593,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,14612.4,1.42499,1.10986,1.27533,0.38656,0.3384,0.30457,0.20653,2.23585,2.66154,1.76487,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,15081.5,1.40946,1.08074,1.26689,0.40087,0.34411,0.30809,0.21246,2.22758,2.65993,1.78537,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,15551,1.3822,1.0581,1.25339,0.36573,0.35096,0.30906,0.21128,2.22411,2.69836,1.77041,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,16019.4,1.37773,1.039,1.251,0.39186,0.36039,0.31176,0.2105,2.25482,2.67526,1.7989,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
