epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.2861,3.90871,9.55134,4.18491,0.89211,0.00229,0.00031,8e-05,3.55199,19.0557,3.78695,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323
2,105.099,3.51743,5.06274,3.35338,0.0016,0.02698,0.00031,0.00013,3.26934,6.49401,3.45793,0.0199038,0.0066346,0.0199038,0.0066346,0.0199038,0.0066346,0.0199038,0.0066346
3,146.199,3.31332,4.29313,2.93888,0.27441,0.00951,0.00303,0.00077,3.24727,6.99708,2.69454,0.0297719,0.00992397,0.0297719,0.00992397,0.0297719,0.00992397,0.0297719,0.00992397
4,186.896,3.23739,4.19157,2.78609,0.46287,0.03217,0.01384,0.00334,3.29334,8.67587,2.58298,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,226.787,3.06257,4.02212,2.60017,0.26375,0.03987,0.01973,0.0075,3.10863,5.49227,2.39093,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,267.275,2.98928,3.92323,2.50682,0.51201,0.03647,0.02223,0.00746,3.01811,8.70594,2.4053,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,306.918,2.93029,3.83816,2.3795,0.75054,0.06114,0.05242,0.01767,3.08172,5.04599,2.24588,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,346.376,2.83647,3.79077,2.34337,0.735,0.09658,0.06208,0.02216,2.94404,5.29775,2.14883,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,387.26,2.77576,3.70836,2.28664,0.84312,0.08086,0.06098,0.02249,2.88451,4.17662,2.06293,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,428.241,2.73312,3.64255,2.21625,0.76719,0.11259,0.06548,0.02371,2.92743,4.293,2.0676,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,467.964,2.67203,3.57361,2.21299,0.80146,0.09537,0.08373,0.03167,2.86226,4.31642,2.05469,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,508.352,2.62612,3.51572,2.13275,0.65636,0.11542,0.08399,0.0365,2.76904,4.25844,1.98517,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,548.307,2.61607,3.4836,2.13015,0.55476,0.13795,0.08428,0.03255,2.79373,3.87184,1.97732,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,588.652,2.56101,3.39324,2.08967,0.90317,0.09448,0.09822,0.04228,2.74719,3.98791,1.99633,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
