epoch,train_loss,val_loss,val_macro_f1,val_balanced_acc,lr,epoch_seconds
1,3.775961,3.771958,0.132096,0.239411,0.00006043,294.78
2,2.719934,3.109294,0.251146,0.370896,0.00012043,16.11
3,2.542949,3.066569,0.352311,0.481937,0.00018043,14.16
4,2.426260,2.561753,0.361008,0.502806,0.00024043,15.64
5,2.338152,3.152725,0.272808,0.372041,0.00030000,14.14
6,2.173299,2.879536,0.345940,0.475560,0.00029994,13.88
7,2.139020,2.858162,0.380498,0.530410,0.00029978,14.07
8,1.964903,2.542302,0.429304,0.556795,0.00029950,15.65
9,1.952894,2.459343,0.398301,0.530692,0.00029911,16.53
10,1.872433,2.833040,0.372889,0.495587,0.00029860,16.29
11,1.845720,2.483212,0.421092,0.534374,0.00029799,16.95
12,1.743790,2.439901,0.432451,0.553376,0.00029727,17.02
13,1.748290,2.610382,0.435388,0.549737,0.00029643,16.36
14,1.678728,2.546833,0.442018,0.562759,0.00029549,16.17
15,1.658547,2.142251,0.464583,0.572076,0.00029444,16.64
16,1.600647,2.163744,0.460967,0.592952,0.00029328,15.80
17,1.606476,2.276604,0.447731,0.582783,0.00029201,14.92
18,1.549518,2.108531,0.454784,0.553380,0.00029064,17.32
19,1.514147,2.527794,0.442222,0.550253,0.00028916,17.22
20,1.418895,2.338812,0.442954,0.569037,0.00028758,16.34
21,1.409009,2.491128,0.456966,0.595562,0.00028590,16.18
22,1.377666,2.368890,0.423540,0.559574,0.00028411,14.31
23,1.347111,2.193911,0.487608,0.604087,0.00028223,14.35
24,1.329191,2.305078,0.464751,0.588430,0.00028024,16.28
25,1.262933,2.199995,0.478007,0.604287,0.00027816,16.91
26,1.317872,2.024189,0.505043,0.622787,0.00027599,16.63
27,1.265532,2.227008,0.507729,0.622258,0.00027372,16.31
28,1.220849,2.092229,0.505058,0.609049,0.00027135,15.63
29,1.131039,1.985777,0.516443,0.622928,0.00026890,16.96
30,1.162002,2.251862,0.492870,0.596788,0.00026636,16.50
31,1.136198,2.330640,0.479487,0.591371,0.00026373,16.07
32,1.108379,2.220031,0.494764,0.597593,0.00026101,16.43
33,1.101200,2.087719,0.506860,0.596865,0.00025822,15.55
34,1.030082,1.938233,0.540471,0.609055,0.00025534,15.00
35,1.064317,2.148053,0.500973,0.611643,0.00025238,16.60
36,1.024173,1.993241,0.539100,0.634232,0.00024935,15.74
37,0.979466,2.107641,0.511535,0.621674,0.00024624,16.61
38,0.966845,1.945514,0.535192,0.616737,0.00024307,17.27
39,0.931182,1.871911,0.558119,0.649078,0.00023982,15.56
40,0.927789,1.813384,0.561762,0.642826,0.00023650,16.37
41,0.888582,2.050909,0.546577,0.646430,0.00023312,16.92
42,0.878147,1.967318,0.546284,0.635377,0.00022968,17.15
43,0.897880,1.793587,0.578294,0.654689,0.00022618,16.50
44,0.859681,1.947743,0.544478,0.627213,0.00022262,16.05
45,0.853171,1.934818,0.560581,0.641634,0.00021901,16.92
46,0.832281,1.916589,0.548459,0.640864,0.00021535,16.62
47,0.809496,2.150986,0.528627,0.618954,0.00021163,16.56
48,0.800339,1.913799,0.565951,0.658309,0.00020788,16.18
49,0.760806,1.793733,0.578956,0.655322,0.00020407,16.68
50,0.740598,1.729439,0.595701,0.671857,0.00020023,16.32
51,0.741876,1.710904,0.600140,0.667633,0.00019635,14.69
52,0.722286,1.972176,0.562987,0.640256,0.00019244,15.59
53,0.703881,1.906143,0.569731,0.653329,0.00018849,16.72
54,0.698230,1.834774,0.585431,0.650844,0.00018452,16.07
55,0.693265,1.863385,0.591235,0.658769,0.00018052,15.97
56,0.661518,2.016551,0.560453,0.638815,0.00017650,16.07
57,0.632753,1.764299,0.604417,0.661611,0.00017245,15.87
58,0.641225,1.846127,0.588603,0.658086,0.00016839,16.11
59,0.647884,1.796708,0.593245,0.652227,0.00016432,16.05
60,0.623682,1.866757,0.594901,0.657810,0.00016024,15.09
61,0.598044,1.729656,0.608841,0.671664,0.00015614,15.47
62,0.624740,1.838543,0.588495,0.654054,0.00015205,16.19
63,0.586051,1.871222,0.602986,0.660817,0.00014795,15.04
64,0.570714,1.844024,0.605341,0.659858,0.00014386,14.51
65,0.578472,1.836814,0.602798,0.657416,0.00013976,15.15
66,0.529997,2.028432,0.582275,0.638777,0.00013568,14.16
67,0.545197,1.749286,0.622296,0.668929,0.00013161,14.23
68,0.516055,1.802911,0.610811,0.667663,0.00012755,14.27
69,0.504969,1.813518,0.617830,0.677865,0.00012350,14.04
70,0.507674,1.811430,0.618791,0.666919,0.00011948,13.95
71,0.487979,1.786051,0.621836,0.672682,0.00011548,14.10
72,0.477993,1.798676,0.621423,0.667440,0.00011151,14.04
73,0.477170,1.766341,0.632049,0.684831,0.00010756,14.34
74,0.491091,1.849453,0.617248,0.674051,0.00010365,14.25
75,0.489518,1.834206,0.618103,0.667137,0.00009977,14.12
76,0.447407,1.902420,0.610528,0.662390,0.00009593,14.55
77,0.447859,1.940197,0.615291,0.668457,0.00009212,14.03
78,0.415800,1.956932,0.618671,0.665956,0.00008837,13.92
79,0.449848,1.837740,0.621222,0.663878,0.00008465,14.56
80,0.421191,1.856047,0.620727,0.663258,0.00008099,14.09
81,0.411844,1.867717,0.607924,0.654041,0.00007738,14.07
82,0.377057,1.808735,0.627891,0.666298,0.00007382,14.83
83,0.419494,1.867151,0.618569,0.653820,0.00007032,14.09
84,0.417560,1.814741,0.643662,0.687238,0.00006688,16.01
85,0.364466,1.879737,0.631764,0.675669,0.00006350,17.18
86,0.384110,1.810529,0.643893,0.681105,0.00006018,16.46
87,0.362742,1.838250,0.635255,0.676796,0.00005693,16.36
88,0.366334,1.840763,0.635540,0.674642,0.00005376,14.37
89,0.376363,1.866611,0.641488,0.686918,0.00005065,14.27
90,0.364544,1.858656,0.634433,0.671845,0.00004762,14.12
91,0.334059,1.808172,0.644721,0.675250,0.00004466,14.18
92,0.347380,1.865699,0.634372,0.670837,0.00004178,14.22
93,0.351484,1.834035,0.642516,0.673349,0.00003899,14.55
94,0.317914,1.875278,0.633530,0.667824,0.00003627,13.99
95,0.342237,1.959448,0.636709,0.674752,0.00003364,14.35
96,0.312378,1.887763,0.635906,0.667605,0.00003110,14.26
97,0.326901,1.914170,0.637695,0.671342,0.00002865,15.59
98,0.313679,1.894107,0.635181,0.672551,0.00002628,15.68
99,0.313647,1.873383,0.633808,0.665848,0.00002401,16.02
100,0.328177,1.894310,0.632618,0.666647,0.00002184,14.91
101,0.335782,1.872658,0.641178,0.675663,0.00001976,16.12
102,0.310860,1.914597,0.631772,0.665382,0.00001777,15.72
103,0.325892,1.894577,0.639891,0.673198,0.00001589,16.16
104,0.314363,1.880777,0.640266,0.671485,0.00001410,16.70
105,0.298676,1.874476,0.646530,0.679672,0.00001242,17.38
106,0.281214,1.906026,0.637570,0.671067,0.00001084,17.26
107,0.279494,1.864329,0.647513,0.677058,0.00000936,14.92
108,0.300457,1.874663,0.650367,0.678989,0.00000799,14.17
109,0.314096,1.858828,0.644081,0.674644,0.00000672,14.42
110,0.278138,1.857457,0.646374,0.674960,0.00000556,17.29
111,0.273541,1.926996,0.642074,0.679125,0.00000451,16.83
112,0.286238,1.896929,0.646088,0.678496,0.00000357,14.88
113,0.291940,1.911263,0.642371,0.670477,0.00000273,13.99
114,0.300761,1.899175,0.641419,0.672970,0.00000201,13.98
115,0.298717,1.911806,0.638086,0.670933,0.00000140,14.66
116,0.297976,1.907263,0.641370,0.675013,0.00000089,13.98
117,0.275086,1.917101,0.638911,0.671588,0.00000050,14.45
118,0.268361,1.936180,0.640915,0.673979,0.00000022,14.48
119,0.286869,1.925010,0.641630,0.674298,0.00000006,14.10
120,0.283976,1.916307,0.642842,0.676928,0.00000000,14.19
